Store,2024,Store_ID,Store_Status,Postal_Code,City,GPS_Coordinates,Poststed,Region_Code,Region_Name,Municipality_Code,Municipality_Name,PostnummerKategoriKode,PostnummerKategori,Latitude,Longitude
"drammen, cc",605354.663,468,Open,3012,Drammen,59.7413889;10.2210607000,DRAMMEN,06,BUSKERUD,0602,DRAMMEN,G,Gateadresser og stedsadresser,59.7423300,10.2242500
"drammen, stromso",313594.57700000005,207,Open,3045,Drammen,59.742764;10.194336,DRAMMEN,06,BUSKERUD,0602,DRAMMEN,G,Gateadresser og stedsadresser,59.7397800,10.1901500
eggedal,43517.475000000006,119,Open,3359,Eggedal,60.245703 ; 9.356065,EGGEDAL,06,BUSKERUD,0621,SIGDAL,B,Både gateadresser og postbokser,60.2467900,9.3553100
fla,63027.471,452,Open,3539,Flå,60.4302089;9.4619752,FLÅ,06,BUSKERUD,0615,FLÅ,B,Både gateadresser og postbokser,60.4282100,9.4662700
geilo,218577.41100000002,304,Open,3580,Geilo,60.5342095;8.2091357,GEILO,06,BUSKERUD,0620,HOL,G,Gateadresser og stedsadresser,60.5350580,8.2060050
gol,215716.925,225,Open,3550,Gol,60.7019928;8.9368812,GOL,06,BUSKERUD,0617,GOL,G,Gateadresser og stedsadresser,60.7003770,8.9451890
hemsedal,102598.145,419,Open,3560,Hemsedal,60.86307;8.55233,HEMSEDAL,06,BUSKERUD,0618,HEMSEDAL,G,Gateadresser og stedsadresser,60.8629480,8.5541010
hokksund,276749.93999999994,375,Open,3300,Hokksund,59.7692;9.91,HOKKSUND,06,BUSKERUD,0624,ØVRE EIKER,G,Gateadresser og stedsadresser,59.7701610,9.9096680
honefoss,404847.17000000004,242,Open,3510,Hønefoss,60.1647532;10.2536553,HØNEFOSS,06,BUSKERUD,0605,RINGERIKE,G,Gateadresser og stedsadresser,60.1627600,10.2520600
kongsberg,455628.44800000003,247,Open,3616,Kongsberg,59.6640275;9.6474783,KONGSBERG,06,BUSKERUD,0604,KONGSBERG,G,Gateadresser og stedsadresser,59.6603600,9.6413600
krokstadelva,455068.487,126,Open,3055,Krokstadelva,59.7561449;9.9991519,KROKSTADELVA,06,BUSKERUD,0625,NEDRE EIKER,G,Gateadresser og stedsadresser,59.7598530,9.9985890
liertoppen,428812.446,362,Open,3420,Lierskogen,59.8113;10.3048,LIERSKOGEN,06,BUSKERUD,0626,LIER,G,Gateadresser og stedsadresser,59.8196250,10.3300920
nesbyen,87171.123,387,Open,3540,Nesbyen,60.5687;9.1026,NESBYEN,06,BUSKERUD,0616,NES,G,Gateadresser og stedsadresser,60.5708100,9.1004500
noresund,61254.852,131,Open,3536,Noresund,60.179917;9.625762,NORESUND,06,BUSKERUD,0622,KRØDSHERAD,B,Både gateadresser og postbokser,60.1812400,9.6237600
rodberg,45757.457,412,Open,3630,Rødberg,60.267810;8.9454177,RØDBERG,06,BUSKERUD,0633,NORE OG UVDAL,G,Gateadresser og stedsadresser,60.2674920,8.9457960
svelvik,121897.259,422,Open,3060,Svelvik,59.617607;10.409519,SVELVIK,07,VESTFOLD,0711,SVELVIK,G,Gateadresser og stedsadresser,59.6134930,10.4087130
vik i hole,142196.04,467,Open,3530,Røyse,60.07769;10.282087,RØYSE,06,BUSKERUD,0612,HOLE,G,Gateadresser og stedsadresser,60.0781800,10.2829030
vikersund,185461.614,171,Open,3370,Vikersund,59.964399;9.99258,VIKERSUND,06,BUSKERUD,0623,MODUM,G,Gateadresser og stedsadresser,59.9675940,9.9972800
al,79173.775,406,Open,3570,Ål,60.63089;8.56431,ÅL,06,BUSKERUD,0619,ÅL,G,Gateadresser og stedsadresser,60.6300600,8.5626410
alta,415350.461,200,Open,9510,Alta,69.9661952;23.2726005,ALTA,20,FINNMARK,2012,ALTA,G,Gateadresser og stedsadresser,69.9704200,23.2861300
batsfjord,43982.126000000004,318,Open,9990,Båtsfjord,70.6369874;29.7262439,BÅTSFJORD,20,FINNMARK,2028,BÅTSFJORD,G,Gateadresser og stedsadresser,70.6274810,29.7125500
hammerfest,196416.122,220,Open,9600,Hammerfest,70.6636654;23.6825083,HAMMERFEST,20,FINNMARK,2004,HAMMERFEST,B,Både gateadresser og postbokser,70.6629900,23.6799600
honningsvag,72064.415,239,Open,9750,Honningsvåg,70.9819;25.9715,HONNINGSVÅG,20,FINNMARK,2019,NORDKAPP,G,Gateadresser og stedsadresser,70.9821830,25.9704350
kautokeino,15372.544999999998,319,Open,9520,Kautokeino,69.0114592;23.0415377,KAUTOKEINO,20,FINNMARK,2011,GUOVDAGEAIDNU KAUTOKEINO,G,Gateadresser og stedsadresser,69.0239300,23.0581600
kirkenes,215872.89800000002,228,Open,9900,Kirkenes,69.7280118;30.0376009,KIRKENES,20,FINNMARK,2030,SØR-VARANGER,G,Gateadresser og stedsadresser,69.7243540,30.0506570
kjollefjord,28750.614999999998,447,Open,9790,Kjøllefjord,70.9454167;27.3515139,KJØLLEFJORD,20,FINNMARK,2022,LEBESBY,B,Både gateadresser og postbokser,70.9459400,27.3555200
lakselv,108926.499,133,Open,9700,Lakselv,70.0457323;24.9676944,LAKSELV,20,FINNMARK,2020,PORSANGER PORSÁNGU PORSANKI,G,Gateadresser og stedsadresser,70.0563060,25.0009350
vadso,130277.74600000001,296,Open,9800,Vadsø,70.071905;29.749646,VADSØ,20,FINNMARK,2003,VADSØ,G,Gateadresser og stedsadresser,70.0731920,29.7523100
vardo,34096.726,370,Open,9950,Vardø,70.3711556;31.1198618,VARDØ,20,FINNMARK,2002,VARDØ,G,Gateadresser og stedsadresser,70.3703300,31.1058140
bagn,82182.082,427,Open,2930,Bagn,60.82302294;9.553333818,BAGN,05,OPPLAND,0540,SØR-AURDAL,G,Gateadresser og stedsadresser,60.8228460,9.5537070
beitostolen,106667.86200000001,396,Open,2953,Beitostølen,61.246471;8.910726,BEITOSTØLEN,05,OPPLAND,0544,ØYSTRE SLIDRE,G,Gateadresser og stedsadresser,61.2491400,8.9060100
brumunddal,242176.323,394,Open,2380,Brumunddal,60.884745;10.943198,BRUMUNDDAL,04,HEDMARK,0412,RINGSAKER,G,Gateadresser og stedsadresser,60.8849230,10.9417710
dokka,135183.106,123,Open,2870,Dokka,60.8345377;10.0742980,DOKKA,05,OPPLAND,0538,NORDRE LAND,G,Gateadresser og stedsadresser,60.8360030,10.0699140
dombas,88098.978,303,Open,2660,Dombås,62.0738271;9.1270977,DOMBÅS,05,OPPLAND,0511,DOVRE,G,Gateadresser og stedsadresser,62.0769400,9.1291100
elverum,382214.0360000001,215,Open,2408,Elverum,60.8831693;11.5615333,ELVERUM,04,HEDMARK,0427,ELVERUM,G,Gateadresser og stedsadresser,60.8936500,11.5610100
fagernes,288978.887,217,Open,2900,Fagernes,60.9861245;9.2351242,FAGERNES,05,OPPLAND,0542,NORD-AURDAL,G,Gateadresser og stedsadresser,60.9859530,9.2366970
flisa,135578.229,302,Open,2270,Flisa,60.612627;12.010825,FLISA,04,HEDMARK,0425,ÅSNES,G,Gateadresser og stedsadresser,60.6130490,12.0109470
gausdal,104762.72000000002,395,Open,2651,Østre Gausdal,61.226542;10.222113,ØSTRE GAUSDAL,05,OPPLAND,0522,GAUSDAL,G,Gateadresser og stedsadresser,61.2572000,10.1563000
gjovik,517347.945,223,Open,2821,Gjøvik,60.7999914;10.6936292,GJØVIK,05,OPPLAND,0502,GJØVIK,G,Gateadresser og stedsadresser,60.7955800,10.6793400
gran,283549.317,226,Open,2750,Gran,60.3566;10.5709,GRAN,05,OPPLAND,0534,GRAN,G,Gateadresser og stedsadresser,60.3587580,10.5709080
hamar,807946.3690000001,230,Open,2318,Hamar,60.7960849;11.0892890,HAMAR,04,HEDMARK,0403,HAMAR,B,Både gateadresser og postbokser,60.7942200,11.0742100
hov,75583.237,438,Open,2860,Hov,60.696;10.35,HOV,05,OPPLAND,0536,SØNDRE LAND,G,Gateadresser og stedsadresser,60.6993300,10.3509600
kongsvinger,169071.801,250,Open,2211,Kongsvinger,60.1864746;12.0046554,KONGSVINGER,04,HEDMARK,0402,KONGSVINGER,G,Gateadresser og stedsadresser,60.1749470,12.0239780
koppang,45232.05299999999,411,Open,2480,Koppang,61.57051;11.05105,KOPPANG,04,HEDMARK,0430,STOR-ELVDAL,G,Gateadresser og stedsadresser,61.5703770,11.0465810
lena,174592.04700000002,332,Open,2850,Lena,60.677429;10.817714,LENA,05,OPPLAND,0528,ØSTRE TOTEN,G,Gateadresser og stedsadresser,60.6745800,10.8132300
lillehammer,499234.38,263,Open,2609,Lillehammer,61.1152335;10.4658186,LILLEHAMMER,05,OPPLAND,0501,LILLEHAMMER,B,Både gateadresser og postbokser,61.1187400,10.4613800
lom,64760.755,364,Open,2686,Lom,61.837174;8.56895825,LOM,05,OPPLAND,0514,LOM,G,Gateadresser og stedsadresser,61.8375000,8.5697220
loten,89844.708,363,Open,2340,Løten,60.820298;11.33994,LØTEN,04,HEDMARK,0415,LØTEN,G,Gateadresser og stedsadresser,60.8194770,11.3422680
mo i nord-odal,28297.727999999996,101,Open,2133,Gardvik,60.4252324;11.640115,GARDVIK,04,HEDMARK,0418,NORD-ODAL,B,Både gateadresser og postbokser,60.4253800,11.6401000
moelv,142596.146,439,Open,2390,Moelv,60.92853467;10.7017779,MOELV,04,HEDMARK,0412,RINGSAKER,G,Gateadresser og stedsadresser,60.9296400,10.7009200
otta,124499.042,274,Open,2670,Otta,61.771682;9.541096,OTTA,05,OPPLAND,0517,SEL,G,Gateadresser og stedsadresser,61.7704540,9.5397270
raufoss,208588.79,352,Open,2830,Raufoss,60.7287409;10.6152540,RAUFOSS,05,OPPLAND,0529,VESTRE TOTEN,G,Gateadresser og stedsadresser,60.7261040,10.6134010
rena,99471.113,330,Open,2450,Rena,61.1325943;11.3713354,RENA,04,HEDMARK,0429,ÅMOT,G,Gateadresser og stedsadresser,61.1323600,11.3729750
ringebu,123152.729,380,Open,2630,Ringebu,61.5305;10.1393,RINGEBU,05,OPPLAND,0520,RINGEBU,G,Gateadresser og stedsadresser,61.5304600,10.1398900
rudshogda,218955.49,267,Open,2360,Rudshøgda,60.9093;10.8143,RUDSHØGDA,04,HEDMARK,0412,RINGSAKER,B,Både gateadresser og postbokser,60.9157000,10.8159000
skarnes,114165.70700000001,388,Open,2100,Skarnes,60.2552;11.6803,SKARNES,04,HEDMARK,0419,SØR-ODAL,G,Gateadresser og stedsadresser,60.2522280,11.6813420
stange,182306.77799999996,324,Open,2335,Stange,60.71693801;11.1913805007,STANGE,04,HEDMARK,0417,STANGE,G,Gateadresser og stedsadresser,60.7167230,11.1913350
