...1,2023,2024,Liter,Prosent
Aromatisert vin,1128.602,1198.52,69.91799999999989,0.06195098006205898
Sider,535.91,602.64,66.73000000000002,0.12451717639155832
Fruktvin,5.625,16.5,10.875,1.9333333333333333
Brennevin,24823.105,24232.3,-590.8050000000003,-0.023800608344524195
Vodka,5947.7,5797.7,-150,-0.025219832876574137
Likør,5756.72,5511,-245.72000000000025,-0.04268402840506404
Akevitt,2941.47,2934.25,-7.2199999999998,-0.0024545550354073986
Whisky,2576.1,2699.3,123.20000000000027,0.04782423042583761
Gin,1958.2,2041.3,83.09999999999991,0.0424369318762128
Druebrennevin,2056.7,1826.85,-229.8499999999999,-0.11175669762240478
"Brennevin, annet",1900.495,1791.75,-108.74499999999989,-0.05721930339201097
Bitter,653.12,670.7,17.58000000000004,0.02691695247427738
Rom,715.8,619.45,-96.34999999999991,-0.13460463816708565
"Brennevin, nøytralt < 37,5 %",178.9,170.2,-8.700000000000017,-0.048630519843488075
Fruktbrennevin,103.6,139,35.400000000000006,0.3416988416988418
Genever,34.3,30.8,-3.4999999999999964,-0.10204081632653052
Øl,5809.173,6423.28,614.107,0.10571332614814535
Alkoholfritt,2054.26,2401.9200000000005,347.6600000000003,0.16923855792353465
Sterkvin,794.7,826.7,32,0.040266767333584995
Evje,133282.429,130385.25600000001,-2897.1729999999952,-0.02173709634298453
Svakvin,102013.029,98882.55099999999,-3130.478000000003,-0.030687040966110347
Rødvin,54287.203,51485.09,-2802.113000000005,-0.05161645553925489
Hvitvin,32251.865,32008.38,-243.48500000000058,-0.0075494858979473145
Musserende vin,6857.625,7067.5,209.875,0.03060461894606369
Rosévin,5657.991,5750.841,92.85000000000036,0.016410418468322124
Aromatisert vin,1377.9,1090.19,-287.71000000000004,-0.2088032513244793
Perlende vin,931.45,844.5,-86.95000000000005,-0.09334907939234531
Sider,645.62,626.3,-19.32000000000005,-0.029924723521576237
Fruktvin,3.375,9.75,6.375,1.8888888888888888
Brennevin,25079.54,24152.980000000003,-926.5599999999977,-0.03694485624536964
Likør,7013.77,7147.74,133.96999999999935,0.01910099703868238
Vodka,7138.8,6294.65,-844.1500000000005,-0.11824816495769605
Whisky,2472.4,2476,3.599999999999909,0.0014560750687590636
"Brennevin, annet",1852.49,1974.56,122.06999999999994,0.06589509255110686
Akevitt,1685.25,1588.44,-96.80999999999995,-0.05744548286604358
Druebrennevin,1550.5,1496.7,-53.799999999999955,-0.03469848435988388
Gin,1442.55,1453.07,10.519999999999982,0.007292641502894168
"Brennevin, nøytralt < 37,5 %",745.9,618.6,-127.29999999999995,-0.17066630915672337
Bitter,592.08,546.92,-45.16000000000008,-0.07627347655722214
Rom,414.6,357.2,-57.400000000000034,-0.1384466956102268
Genever,98.7,111.3,12.599999999999994,0.12765957446808504
Fruktbrennevin,72.5,87.8,15.299999999999997,0.21103448275862066
Øl,4394.195000000001,5514.64,1120.4449999999997,0.2549829946099341
Alkoholfritt,1168.84,1282.7350000000001,113.89500000000021,0.09744276376578506
Sterkvin,626.825,552.35,-74.47500000000002,-0.11881306584772468
Farsund,165066.10799999998,157736.174,-7329.933999999979,-0.044406050938088276
Svakvin,131397.14599999998,124959.845,-6437.300999999978,-0.04899117824065965
Rødvin,66297.083,61138.205,-5158.877999999997,-0.07781455482739712
Hvitvin,41302.026,40559.34,-742.6860000000015,-0.0179818297533395
Musserende vin,12809.775,11927.775,-882,-0.06885366838996002
Rosévin,7007.452,7091.59,84.13799999999992,0.012006932048910205
Perlende vin,1818.4,2116.5,298.0999999999999,0.16393532776066866
Aromatisert vin,1381.2,1352.32,-28.88000000000011,-0.020909354184766946
Sider,766.21,748.24,-17.970000000000027,-0.023453100324976217
Fruktvin,15,25.875,10.875,0.725
Brennevin,25826.970000000005,24356.375000000004,-1470.5950000000012,-0.0569402837421502
Vodka,7284.85,6777.8,-507.0500000000002,-0.0696033549077881
Likør,5775.26,5449.9,-325.3600000000006,-0.05633685756139127
Whisky,2807.95,2697.15,-110.79999999999973,-0.03945939208319227
